stopID,stop_Cname,stop_Ename,lon,lat,address
58436,士林區農會,Shilin Farmers Assn.,121.52567163678101,25.092863829986896,文林路342號同向
58464,捷運中山站(志仁高中),MRT Zhongshan Sta.(Zhiren High School),121.51960748198499,25.052716607342802,南京西路65號同向
58465,南京林森路口,Nanjing & Linsen Intersection,121.525060474751,25.052069472358998,南京東路一段+林森北路同向
58466,南京吉林路口,Nanjing & Jilin Intersection,121.529855025946,25.0520078098529,南京東路二段+吉林路同向
58467,捷運松江南京站,MRT Songjiang Nanjing Sta.,121.532730534574,25.0519697274183,南京東路二段+松江路路口(向東)
58468,南京建國路口,Nanjing & Jianguo Intersection,121.53627250498998,25.0519389515979,南京東路三段上近建國北路二段同向
58469,南京龍江路口,Nanjing & Longjiang Intersection,121.540168930921,25.05188830698669,南京東路三段上近龍江路同向
58470,捷運南京復興站,MRT Nanjing Fuxing Station,121.543561439976,25.0518040049938,南京東路三段上近復興北路同向
58471,八德敦化路口,Bade & Dunhua Intersection,121.54874,25.04864,八德路三段上近敦化北路同向
58472,市民敦化路口,CivicBlvd.andDunhuaIntersection,121.548797,25.04527113,敦化南路一段上近市民大道四段
58473,忠孝敦化路口,ZhongXiao-DunHua Intersection,121.5487541,25.04186596,敦化南路一段上近忠孝東路同向
58474,仁愛敦化路口,Renai and Dunhua Intersection,121.548697,25.039043,敦化南路一段245號(向南)
58475,仁愛安和路口,Renai & Anhe Intersection,121.55088339134501,25.0377212341364,仁愛路四段上近安和路口
58476,仁愛國小,Renai Elementary School,121.5520521,25.03650265,台北市大安區安和路一段83號同向(向南)
58477,捷運信義安和站(安和),MRT XinYi-AnHe Sta.(AnHe),121.552398,25.034385,安和路100號同向(向南)
58478,信義通化街口,XinYi-TongHua Intersection,121.55399412467399,25.0330873803964,信義路四段上近通化街口同向
58480,吳興街口,Wuxing St. Entrance,121.55860009999999,25.03159406,基隆路二段
58481,三興國小(臨江街觀光夜市),Sanxing Elementary School(Linjiang St. Night Market),121.556522,25.028215,基隆路二段123號對面
35732,新店,Xindian,121.53881574469999,24.958903823792,地標同向
59817,榮富國小,Rongfu Elementary School,121.4478902,25.05259563,中信街195號
59818,中和街,Zhonghe St.,121.44734199999999,25.049635000000002,中和街153號(向南)
25372,關渡宮,Guandu Temple,121.46497659999999,25.11819,知行路2號同向
25373,關渡碼頭,Guandu Wharf,121.46231999999999,25.120639999999998,地標同向
121586,陽明交大(東華),NYCU(Donghua),121.511973,25.119636,東華街19號同向(向北)
121587,健行新村(東華),Jianxing New Village(Donghua),121.50913999999999,25.12051,東華街致遠三路交叉口(向西)
121588,捷運唭哩岸站一(東華),MRT Qilian 1,121.50736,25.120913,東華街二298號同向(向西)
121589,捷運唭哩岸站二(東華),MRT Qilian 2,121.505229693995,25.121347129874703,東華街二352號同向(向西)
56960,中山藝術公園,Zhongshan Art park,121.49252140000002,25.06043253,重新路三段108號同向
26899,陽明戲院,Yangming Theater,121.5260219,25.087439800000002,文林路76號同向
26521,岩山里一,Yenshan Villiage 1,121.53692,25.10331,仰德大道一段11號同向(向南)
