sponsor
國立臺灣博物館
說說刺繡工作室Woyi Embroidery
大禾音樂製作
公共電視國際部
社團法人台北市心生活協會
焦元溥、林仁斌、橫山幸雄、Matti Raekallio等知名師資
台北書林書店
新月藝文沙龍
財團法人大安森林之友基金會
藝術村營運部
台北曲藝團
中正紀念堂
迪化二０七博物館
半日生活股份有限公司
新月藝文
凱音雅樂
佛光緣美術館台北館
說說刺繡
國史館
孫運璿科技•人文紀念館
臺北市立大學聰明老化跨域創新中心
大稻埕戲苑、一心戲劇團
台北二二八紀念館
國立台灣工藝研究發展中心 臺北當代工藝設計分館
鳳甲美術館
財團法人台灣設計研究院 台灣設計館
中國宋慶齡基金會、敦煌研究院、財團法人沈春池文教基金會
LIGHTWELL
中國文化大學華岡博物館
歷史文物陳列館
臺北市政府原住民族事務委員會凱達格蘭文化館
臺北書畫院
紀州庵文學森林
中華郵政股份有限公司郵政博物館
財團法人麗寶文化藝術基金會
臺灣珠寶藝術學院
十方禪林文教基金會
純青基金會全齡故事館
台灣國際經典文化協會
正藝國際有限公司
穎川畫廊
南港軟體工業園區二期管理委員會
財團法人王道銀行教育基金會
新月社
雅逸藝術中心
1839當代藝廊
錢穆故居
陳氏藝術 Chens Art Gallery
拾異展演空間
上古國際藝術股份有限公司
孟焦畫坊
墨語書會
財團法人臺北文創基金會
 Pièce藝文空間
醫聲室內樂團
財團法人台北行天宮附設玄空圖書館
岩筆模MBmore
當代一畫廊
日商倍樂生股份有限公司 台北分公司
金車文藝中心南京館
台灣宗教學會主辦；魚籃文化有限公司承辦；北市府補助
純青社會福利基金會
臺北數位藝術中心
施雅玲
長流美術館 臺北館(100台北市仁愛路二段63號B1)
國泰世華藝術中心
台南人劇團
若水藏館
也趣藝術股份有限公司
金車文藝中心承德館
主辦單位/得益寶股份有限公司
阿波羅畫廊
市長官邸藝文沙龍
台北市電器商業同業公會
她的實驗室空間集
同黨劇團
樹火紀念紙博物館
典藏藝術家庭
臺北藝文推廣處 大稻埕戲苑
歐亞管絃樂團
台大合唱團
孫運璿科技･人文紀念館 
臺北爵士大樂隊
二富室藝文空間
臺北市家庭教育中心
臺北亞太管樂協會、蔓草文創
社團法人中華民國身心障礙者自立更生創業協會
覺行生命教育基金會
臺北市文化局─錢穆故居
漢陽北管劇團
中華古琴學會
琥珀傳統藝術工作群
財團法人辜公亮文教基金會
臺北人聲爵士樂團
臺大藝文中心
思劇團
財團法人龍顏基金會
臺北傳統戲劇團
臺北市諮商心理師公會
臺大校史館
灣聲樂團
台北崑劇團
滅劇場黯黑舞蹈團
文生音樂藝術股份有限公司
財團法人「張老師」基金會 台北分事務所
貞明讀書會
中影培育中心
財團法人台北獨奏家室內樂基金會
水磨曲集崑劇團
台北愛樂文教基金會
創劇團
雅齋兒童書法研習會
中華民國筆會
絃舞
亞特愛樂合唱團
順益台灣原住民博物館
國立中正紀念堂管理處
韻清樂舞劇團
臺北市立國樂團
